address,account_type,raw_bfr_wei,Raw BFR,raw_esbfr_wei,Raw esBFR,fsblp_wei,fsBLP Reward,vester1_wei,Vester 1,vester2_wei,Vester 2,staking_wei,Staking,camelot_wei,Camelot,total_wei,Total
0x00730B8cd9c6302E2598106caa9d47164986c967,eoa,0,0,0,0,0,0,0,0,0,0,2553097896940636218,2.553097896940636218,0,0,2553097896940636218,2.553097896940636218
0x0074E01a21e9934680C883F0B1231c7B3953a589,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0075e788EB9cD476C2f2c13c0c7ef6e52DA8fcbF,eoa,0,0,60220678575729675,0.060220678575729675,0,0,0,0,0,0,1401724079365720854,1.401724079365720854,0,0,1461944757941450529,1.461944757941450529
0x00766C6C3c26237a9C8772E19021279F40a66F9D,eoa,706680075608724381,0.706680075608724381,0,0,0,0,0,0,0,0,0,0,0,0,706680075608724381,0.706680075608724381
0x00770a16c2CfB99148FAF0eA9fa47D06AFdba2F2,eoa,0,0,0,0,0,0,0,0,0,0,789208867772879526,0.789208867772879526,0,0,789208867772879526,0.789208867772879526
0x0078f290838ee72228944A716145AAD0F2a384d5,eoa,0,0,0,0,0,0,0,0,0,0,14333607781338630412,14.333607781338630412,0,0,14333607781338630412,14.333607781338630412
0x007A461940E264f1Bd7bAc4610BaA5F84De5Ddd5,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x007B5E01835d04c3F4C5a5638707f1be0D907ba7,eoa,12414373000000000000,12.414373,0,0,0,0,0,0,0,0,0,0,0,0,12414373000000000000,12.414373
0x007D51Cbd6105792a1D0EFB8455ae2609A79F664,eoa,813810591837,0.000000813810591837,0,0,0,0,0,0,0,0,452606342474734711808,452.606342474734711808,0,0,452606343288545303645,452.606343288545303645
0x007F7735baF391e207E3aA380bb53c4Bd9a5Fed6,contract,329248231593973218810,329.24823159397321881,0,0,0,0,0,0,0,0,0,0,0,0,329248231593973218810,329.24823159397321881
0x007f77B222086052e8aeBCA83F969B012884E49d,eoa,0,0,189919824670038988,0.189919824670038988,0,0,0,0,0,0,58702229592396,0.000058702229592396,0,0,189978526899631384,0.189978526899631384
0x008076097a7A46993eCb1D1C21A7D3dD655AfAE3,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00839b1e49e0DBfDf97C03D0d8F008967cF816A6,eoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
