queriedAccount,timeMs,isoTime,hash,type,token,amount,usdcValue,fromAddress,toAddress,fee,nonce,sourceDex,destinationDex
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739352081308,2025-02-12T09:21:21.308Z,0x7f8e5581eb33fee70013041d9d579402014300a15d94c37c0b86edd4be7b91e5,spotTransfer,USDC,10.0,10.0,0x098867130e801e463f35eac4a2e88605164d8f3f,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739353479793,2025-02-12T09:44:39.793Z,0xee7c886424b25e82951f041d9d91d3014f009f064a3a4c98531ed18d84245925,spotTransfer,USDC,887.0,887.0,0x7765eba9f7602deef006d1b1b1b73586b7c3ac44,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739354309719,2025-02-12T09:58:29.719Z,0xddcd54bd46e11b5e6a8d041d9db40c01e800dfc47ab8c480ab35b5bb6a6a50ab,spotTransfer,USDC,0.06,0.06,0x52be86e343dbb35077bfd17a41c146ffa8156688,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739356765073,2025-02-12T10:39:25.073Z,0x29a994afebc66ed85bd4041d9e19be020227004c93754bca554b7be797f37e7c,spotTransfer,USDC,303.42,303.42,0xc93bb3da11f1a45461130006bcc935edc69b7bbd,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739364559388,2025-02-12T12:49:19.388Z,0xff467f00bf4bc3cf5dd3041d9f600e018d00922b3ac63a5ee22299a06093d5c0,spotTransfer,USDC,12.0,12.0,0xe092e9e95cf5220b7ed4f996d89a7556291b74de,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739370183477,2025-02-12T14:23:03.477Z,0x49f285087635da13ef30041da04c46020383006da6336ef700f249f4a3696c1f,spotTransfer,USDC,150.0,150.0,0x7669f59ccb76629aa13d611037d377aebf165141,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739371579438,2025-02-12T14:46:19.438Z,0x0fadb5934ba55b20a30c041da088240202e800c00e90cc049fc3aaffcfbef387,spotTransfer,USDC,2000.0,2000.0,0xd8817ee08ed20a55be5ea97e7f1cb969cc3b2e88,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739373412744,2025-02-12T15:16:52.744Z,0x82a25ff273cacad4e1ff041da0d6e2017600f7b601ec52ad5d7e454ad511a73c,spotTransfer,USDC,100.0,100.0,0x91e23b702f5b816e81960443815f145eee817353,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739373633462,2025-02-12T15:20:33.462Z,0xf7b202b69dc50ceecb02041da0e02a02011c005bb7693067dc61aaf5f5a39166,spotTransfer,USDC,4100.0,4100.0,0x8d89c1e0b80885af3394806bd714ef57aac068c4,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,1739388387950,2025-02-12T19:26:27.950Z,0x887ff7c479ed92d336cc041da354f0018600d0de34c6119026ffc304635e8145,spotTransfer,USDC,0.00463618,0.004636,0x89da619c7e13be65127401de8e62360f9dcaf82a,0xce7cd6fa640b613b887a08eecc12a4f4e29180ad,0.0,,,
